iso;timeInterval;scenario;biovar;weightedMean
SWE;1995;current;biovar01;3.2
SWE;1995;current;biovar02;7
SWE;1995;current;biovar03;25.1
SWE;1995;current;biovar04;742.6
SWE;1995;current;biovar05;18.7
SWE;1995;current;biovar06;-9.3
SWE;1995;current;biovar07;28
SWE;1995;current;biovar08;12.6
SWE;1995;current;biovar09;-2.4
SWE;1995;current;biovar10;13.2
SWE;1995;current;biovar11;-5.9
SWE;1995;current;biovar12;753
SWE;1995;current;biovar13;98.1
SWE;1995;current;biovar14;41.5
SWE;1995;current;biovar15;28
SWE;1995;current;biovar16;266.8
SWE;1995;current;biovar17;134.9
SWE;1995;current;biovar18;264.6
SWE;1995;current;biovar19;153.4
SWE;2020;rcp45;biovar01;4.2
SWE;2020;rcp45;biovar02;6.9
SWE;2020;rcp45;biovar03;24.6
SWE;2020;rcp45;biovar04;745.6
SWE;2020;rcp45;biovar05;19.9
SWE;2020;rcp45;biovar06;-8.4
SWE;2020;rcp45;biovar07;28.3
SWE;2020;rcp45;biovar08;13.7
SWE;2020;rcp45;biovar09;-1.5
SWE;2020;rcp45;biovar10;14.3
SWE;2020;rcp45;biovar11;-4.9
SWE;2020;rcp45;biovar12;776.7
SWE;2020;rcp45;biovar13;107.3
SWE;2020;rcp45;biovar14;42.6
SWE;2020;rcp45;biovar15;30.2
SWE;2020;rcp45;biovar16;278.9
SWE;2020;rcp45;biovar17;139.4
SWE;2020;rcp45;biovar18;276.5
SWE;2020;rcp45;biovar19;159
SWE;2020;rcp85;biovar01;3.9
SWE;2020;rcp85;biovar02;6.9
SWE;2020;rcp85;biovar03;24.5
SWE;2020;rcp85;biovar04;750.2
SWE;2020;rcp85;biovar05;19.5
SWE;2020;rcp85;biovar06;-8.8
SWE;2020;rcp85;biovar07;28.3
SWE;2020;rcp85;biovar08;13.4
SWE;2020;rcp85;biovar09;-1.9
SWE;2020;rcp85;biovar10;14
SWE;2020;rcp85;biovar11;-5.3
SWE;2020;rcp85;biovar12;792
SWE;2020;rcp85;biovar13;112.2
SWE;2020;rcp85;biovar14;42.5
SWE;2020;rcp85;biovar15;30.8
SWE;2020;rcp85;biovar16;284.1
SWE;2020;rcp85;biovar17;139.5
SWE;2020;rcp85;biovar18;281.7
SWE;2020;rcp85;biovar19;158
SWE;2030;rcp45;biovar01;4.3
SWE;2030;rcp45;biovar02;6.9
SWE;2030;rcp45;biovar03;24.6
SWE;2030;rcp45;biovar04;747.6
SWE;2030;rcp45;biovar05;19.9
SWE;2030;rcp45;biovar06;-8.3
SWE;2030;rcp45;biovar07;28.2
SWE;2030;rcp45;biovar08;13.7
SWE;2030;rcp45;biovar09;-1.5
SWE;2030;rcp45;biovar10;14.3
SWE;2030;rcp45;biovar11;-4.8
SWE;2030;rcp45;biovar12;789.4
SWE;2030;rcp45;biovar13;112.4
SWE;2030;rcp45;biovar14;42.8
SWE;2030;rcp45;biovar15;31.2
SWE;2030;rcp45;biovar16;285.4
SWE;2030;rcp45;biovar17;139.8
SWE;2030;rcp45;biovar18;282.5
SWE;2030;rcp45;biovar19;158.7
SWE;2030;rcp85;biovar01;4.3
SWE;2030;rcp85;biovar02;6.9
SWE;2030;rcp85;biovar03;24.6
SWE;2030;rcp85;biovar04;744.2
SWE;2030;rcp85;biovar05;19.7
SWE;2030;rcp85;biovar06;-8.3
SWE;2030;rcp85;biovar07;28
SWE;2030;rcp85;biovar08;13.6
SWE;2030;rcp85;biovar09;-1.2
SWE;2030;rcp85;biovar10;14.3
SWE;2030;rcp85;biovar11;-4.8
SWE;2030;rcp85;biovar12;782.7
SWE;2030;rcp85;biovar13;108.6
SWE;2030;rcp85;biovar14;42.3
SWE;2030;rcp85;biovar15;30.3
SWE;2030;rcp85;biovar16;279.5
SWE;2030;rcp85;biovar17;138.6
SWE;2030;rcp85;biovar18;276.6
SWE;2030;rcp85;biovar19;158.1
SWE;2040;rcp45;biovar01;4.3
SWE;2040;rcp45;biovar02;6.9
SWE;2040;rcp45;biovar03;24.5
SWE;2040;rcp45;biovar04;746.4
SWE;2040;rcp45;biovar05;20
SWE;2040;rcp45;biovar06;-8.3
SWE;2040;rcp45;biovar07;28.2
SWE;2040;rcp45;biovar08;13.6
SWE;2040;rcp45;biovar09;-1.3
SWE;2040;rcp45;biovar10;14.3
SWE;2040;rcp45;biovar11;-4.9
SWE;2040;rcp45;biovar12;776.9
SWE;2040;rcp45;biovar13;103.9
SWE;2040;rcp45;biovar14;42.2
SWE;2040;rcp45;biovar15;29.7
SWE;2040;rcp45;biovar16;277.6
SWE;2040;rcp45;biovar17;137.8
SWE;2040;rcp45;biovar18;274.9
SWE;2040;rcp45;biovar19;155.7
SWE;2040;rcp85;biovar01;4.6
SWE;2040;rcp85;biovar02;6.8
SWE;2040;rcp85;biovar03;24.4
SWE;2040;rcp85;biovar04;746.6
SWE;2040;rcp85;biovar05;20.1
SWE;2040;rcp85;biovar06;-8
SWE;2040;rcp85;biovar07;28.1
SWE;2040;rcp85;biovar08;14
SWE;2040;rcp85;biovar09;-1.1
SWE;2040;rcp85;biovar10;14.7
SWE;2040;rcp85;biovar11;-4.5
SWE;2040;rcp85;biovar12;786.2
SWE;2040;rcp85;biovar13;108.4
SWE;2040;rcp85;biovar14;43.1
SWE;2040;rcp85;biovar15;30.3
SWE;2040;rcp85;biovar16;284.3
SWE;2040;rcp85;biovar17;140.5
SWE;2040;rcp85;biovar18;281.4
SWE;2040;rcp85;biovar19;160.6
SWE;2050;rcp45;biovar01;4.6
SWE;2050;rcp45;biovar02;6.9
SWE;2050;rcp45;biovar03;24.5
SWE;2050;rcp45;biovar04;745.3
SWE;2050;rcp45;biovar05;20.2
SWE;2050;rcp45;biovar06;-7.9
SWE;2050;rcp45;biovar07;28.1
SWE;2050;rcp45;biovar08;14.1
SWE;2050;rcp45;biovar09;-1
SWE;2050;rcp45;biovar10;14.7
SWE;2050;rcp45;biovar11;-4.5
SWE;2050;rcp45;biovar12;780.9
SWE;2050;rcp45;biovar13;107.3
SWE;2050;rcp45;biovar14;42.1
SWE;2050;rcp45;biovar15;30.8
SWE;2050;rcp45;biovar16;281.7
SWE;2050;rcp45;biovar17;137.6
SWE;2050;rcp45;biovar18;278.8
SWE;2050;rcp45;biovar19;154.6
SWE;2050;rcp85;biovar01;5.1
SWE;2050;rcp85;biovar02;6.8
SWE;2050;rcp85;biovar03;24
SWE;2050;rcp85;biovar04;749.5
SWE;2050;rcp85;biovar05;20.8
SWE;2050;rcp85;biovar06;-7.5
SWE;2050;rcp85;biovar07;28.3
SWE;2050;rcp85;biovar08;14.6
SWE;2050;rcp85;biovar09;-0.8
SWE;2050;rcp85;biovar10;15.2
SWE;2050;rcp85;biovar11;-4.1
SWE;2050;rcp85;biovar12;805.8
SWE;2050;rcp85;biovar13;112.7
SWE;2050;rcp85;biovar14;43.7
SWE;2050;rcp85;biovar15;31
SWE;2050;rcp85;biovar16;292
SWE;2050;rcp85;biovar17;142
SWE;2050;rcp85;biovar18;289.5
SWE;2050;rcp85;biovar19;159.8
SWE;2060;rcp45;biovar01;4.9
SWE;2060;rcp45;biovar02;6.9
SWE;2060;rcp45;biovar03;24.6
SWE;2060;rcp45;biovar04;747.1
SWE;2060;rcp45;biovar05;20.6
SWE;2060;rcp45;biovar06;-7.5
SWE;2060;rcp45;biovar07;28.1
SWE;2060;rcp45;biovar08;14.5
SWE;2060;rcp45;biovar09;-0.9
SWE;2060;rcp45;biovar10;15
SWE;2060;rcp45;biovar11;-4.2
SWE;2060;rcp45;biovar12;783.7
SWE;2060;rcp45;biovar13;109.2
SWE;2060;rcp45;biovar14;42.2
SWE;2060;rcp45;biovar15;31.1
SWE;2060;rcp45;biovar16;284.5
SWE;2060;rcp45;biovar17;139.5
SWE;2060;rcp45;biovar18;281.7
SWE;2060;rcp45;biovar19;155
SWE;2060;rcp85;biovar01;5.8
SWE;2060;rcp85;biovar02;6.7
SWE;2060;rcp85;biovar03;24.1
SWE;2060;rcp85;biovar04;746.4
SWE;2060;rcp85;biovar05;21.2
SWE;2060;rcp85;biovar06;-6.8
SWE;2060;rcp85;biovar07;28
SWE;2060;rcp85;biovar08;15.2
SWE;2060;rcp85;biovar09;0
SWE;2060;rcp85;biovar10;15.9
SWE;2060;rcp85;biovar11;-3.3
SWE;2060;rcp85;biovar12;826.1
SWE;2060;rcp85;biovar13;115.1
SWE;2060;rcp85;biovar14;43.9
SWE;2060;rcp85;biovar15;31.2
SWE;2060;rcp85;biovar16;298.4
SWE;2060;rcp85;biovar17;143.8
SWE;2060;rcp85;biovar18;295.2
SWE;2060;rcp85;biovar19;163.1
SWE;2070;rcp45;biovar01;5.2
SWE;2070;rcp45;biovar02;6.9
SWE;2070;rcp45;biovar03;24.5
SWE;2070;rcp45;biovar04;744.7
SWE;2070;rcp45;biovar05;20.7
SWE;2070;rcp45;biovar06;-7.4
SWE;2070;rcp45;biovar07;28.1
SWE;2070;rcp45;biovar08;14.6
SWE;2070;rcp45;biovar09;-0.9
SWE;2070;rcp45;biovar10;15.2
SWE;2070;rcp45;biovar11;-4
SWE;2070;rcp45;biovar12;798.8
SWE;2070;rcp45;biovar13;111.7
SWE;2070;rcp45;biovar14;42.9
SWE;2070;rcp45;biovar15;31.1
SWE;2070;rcp45;biovar16;288.8
SWE;2070;rcp45;biovar17;141.6
SWE;2070;rcp45;biovar18;286.4
SWE;2070;rcp45;biovar19;158.3
SWE;2070;rcp85;biovar01;6.7
SWE;2070;rcp85;biovar02;6.7
SWE;2070;rcp85;biovar03;23.8
SWE;2070;rcp85;biovar04;744.7
SWE;2070;rcp85;biovar05;21.9
SWE;2070;rcp85;biovar06;-6.1
SWE;2070;rcp85;biovar07;28
SWE;2070;rcp85;biovar08;16
SWE;2070;rcp85;biovar09;0.7
SWE;2070;rcp85;biovar10;16.7
SWE;2070;rcp85;biovar11;-2.4
SWE;2070;rcp85;biovar12;843.1
SWE;2070;rcp85;biovar13;114.6
SWE;2070;rcp85;biovar14;45.2
SWE;2070;rcp85;biovar15;30.3
SWE;2070;rcp85;biovar16;302.4
SWE;2070;rcp85;biovar17;147.9
SWE;2070;rcp85;biovar18;299.3
SWE;2070;rcp85;biovar19;169.6
SWE;2080;rcp45;biovar01;5.3
SWE;2080;rcp45;biovar02;6.8
SWE;2080;rcp45;biovar03;24.2
SWE;2080;rcp45;biovar04;749.1
SWE;2080;rcp45;biovar05;21
SWE;2080;rcp45;biovar06;-7.3
SWE;2080;rcp45;biovar07;28.3
SWE;2080;rcp45;biovar08;14.8
SWE;2080;rcp45;biovar09;-0.6
SWE;2080;rcp45;biovar10;15.4
SWE;2080;rcp45;biovar11;-3.8
SWE;2080;rcp45;biovar12;806
SWE;2080;rcp45;biovar13;108.1
SWE;2080;rcp45;biovar14;43.8
SWE;2080;rcp45;biovar15;29.5
SWE;2080;rcp45;biovar16;287.3
SWE;2080;rcp45;biovar17;143.3
SWE;2080;rcp45;biovar18;284.6
SWE;2080;rcp45;biovar19;160.2
SWE;2080;rcp85;biovar01;7.2
SWE;2080;rcp85;biovar02;6.6
SWE;2080;rcp85;biovar03;23.6
SWE;2080;rcp85;biovar04;743.7
SWE;2080;rcp85;biovar05;22.3
SWE;2080;rcp85;biovar06;-5.7
SWE;2080;rcp85;biovar07;28
SWE;2080;rcp85;biovar08;16.5
SWE;2080;rcp85;biovar09;1
SWE;2080;rcp85;biovar10;17.2
SWE;2080;rcp85;biovar11;-1.9
SWE;2080;rcp85;biovar12;855.3
SWE;2080;rcp85;biovar13;117.6
SWE;2080;rcp85;biovar14;46.4
SWE;2080;rcp85;biovar15;30.3
SWE;2080;rcp85;biovar16;307.2
SWE;2080;rcp85;biovar17;150.7
SWE;2080;rcp85;biovar18;303.9
SWE;2080;rcp85;biovar19;170.7
SWE;2090;rcp45;biovar01;5.6
SWE;2090;rcp45;biovar02;6.8
SWE;2090;rcp45;biovar03;24.1
SWE;2090;rcp45;biovar04;748.1
SWE;2090;rcp45;biovar05;21.1
SWE;2090;rcp45;biovar06;-7.1
SWE;2090;rcp45;biovar07;28.2
SWE;2090;rcp45;biovar08;15.1
SWE;2090;rcp45;biovar09;-0.4
SWE;2090;rcp45;biovar10;15.6
SWE;2090;rcp45;biovar11;-3.6
SWE;2090;rcp45;biovar12;810.2
SWE;2090;rcp45;biovar13;114
SWE;2090;rcp45;biovar14;43.5
SWE;2090;rcp45;biovar15;31.2
SWE;2090;rcp45;biovar16;293
SWE;2090;rcp45;biovar17;143
SWE;2090;rcp45;biovar18;290.6
SWE;2090;rcp45;biovar19;159.9
SWE;2090;rcp85;biovar01;7.6
SWE;2090;rcp85;biovar02;6.5
SWE;2090;rcp85;biovar03;23.3
SWE;2090;rcp85;biovar04;748.7
SWE;2090;rcp85;biovar05;23
SWE;2090;rcp85;biovar06;-5.2
SWE;2090;rcp85;biovar07;28.2
SWE;2090;rcp85;biovar08;17.1
SWE;2090;rcp85;biovar09;1.4
SWE;2090;rcp85;biovar10;17.7
SWE;2090;rcp85;biovar11;-1.5
SWE;2090;rcp85;biovar12;886.6
SWE;2090;rcp85;biovar13;122.4
SWE;2090;rcp85;biovar14;48
SWE;2090;rcp85;biovar15;30.7
SWE;2090;rcp85;biovar16;320.4
SWE;2090;rcp85;biovar17;156
SWE;2090;rcp85;biovar18;317.6
SWE;2090;rcp85;biovar19;175.2